Tiêu đề sách,Đã bán (Sách),Giá bán (VNĐ),Giá gốc (VNĐ),Mã Kim Đồng (Mã sách),ISBN (Mã quốc tế),Tác giả,Đối tượng,Chiều dài (cm),Chiều rộng (cm),Số trang,Định dạng,Trọng lượng (gram),Bộ sách,Loại sách,Mô tả
"""Cậu"" ma nhà xí Hanako - Tập 11 - Bản đặc biệt (Tặng kèm 01 sách tranh màu độc quyền Ghost Hotel's Cafe)",3162,45000,50000,5212214330111,978-604-2-23315-6,AidaIro,Thiếu niên,18,13,178,bìa mềm,150,"""Cậu"" ma nhà xí Hanako",Manga - comic,"""Cậu"" ma nhà xí Hanako - Một trong những Series Manga Hot bán chạy nhất năm 2021 của NXB Kim Đồng lần đầu tiên phát hành tập mới với 2 phiên bản song song!! Vào ngày 26.11 tới đây, các Fan của Hanako sẽ có cơ hội rinh về 2 phiên bản của Vol.11. Bản đặc biệt sẽ có bìa áo nền màu xanh, với hình minh họa hoàn toàn khác biệt so với phiên bản thường. Ấn tượng hơn nữa, đi kèm với Bản đặc biệt Vol.11 sẽ là tập sách tranh độc quyền: ""Ghost Hotel's Cafe"". Đây là tập sách tranh được in màu hoàn toàn trên giấy C, kể về một vị khách lạc vào Khách sạn Ma quái nằm sâu trong khu rừng. Ở đây cô đã được các nhân viên vô cùng bí ẩn tiếp đón. Dần dần, thân phận (kinh dị) của các nhân viên trong khách sạn cũng được tiết lộ, liệu rằng cô gái có còn đường trở ra hay không!? Hãy cùng khám phá câu chuyện vô cùng độc đáo bằng một phong cách diễn đạt cực kì mới mẻ, do chính tay tác giả AidaIro viết nội dung và vẽ tranh nhé! Sách tặng kèm 01 sách tranh màu độc quyền Ghost Hotel's Cafe"
Đại tư tế Imhotep - Tập 10,952,5000,25000,5212214400010,978-604-2-22500-7,Makoto Morishita,Tuổi mới lớn,"17,6","11,3",188,bìa mềm,130,Im - Đại tư tế Imhotep,Manga - comic,"Khonsu đã mang thi thể của Djoser đi mất. Kẻ giật dây đằng sau chính là Apophis. Nhờ đó, Apophis đã hoàn toàn hồi sinh, thậm chí còn sở hữu sức mạnh vượt trội hơn lúc còn sống trong thời đại của thần linh. Vì muốn ngăn chặn hắn, nhóm của Im đã đột nhập vào triền đồi nguyên sơ, nơi Apophis ngự trị. “Số tập lên tới 2 con số rồi, tập 10 nè bà con ơi!! Vốn dĩ để đi đến được đây phải trải qua một chặng đường dài, thế mà chớp mắt đã đến tập 10 rồi!! Cuối cùng nhóm của Im đã đến được nơi sẽ diễn ra trận chiến quyết định. Ngày chia tay mọi người cũng đã cận kề, khiến tôi cảm thấy chạnh lòng mỗi khi cầm bút vẽ. Các bạn hãy tiếp tục dõi theo trận chiến hoành tráng nắm giữ vận mệnh của cả thế giới này đến cùng nhé!! Giờ thì cùng đọc tập 10 thôi!!!” (Makoto Morishita)"
Chú Thuật Hồi Chiến - Tập 6,957,27000,30000,5222215000006,978-604-2-27287-2,Gege Akutami,Tuổi mới lớn,17.6,11.3,192,bìa mềm,140,Chú thuật hồi chiến,Manga - comic,"Phía Kyoto lợi dụng cơ hội giao lưu để trừ khử Itadori. Trong lúc đó, chú nguyền sư và chú linh do Mahito cầm đầu đã đột nhập vào khu vực diễn ra buổi giao lưu. Nhóm giáo viên định tới ứng cứu học sinh nhưng lại bị “màn” của phe địch cản bước...!? Bị chú linh đặc cấp Hanami tấn công, liệu Fushiguro và Inumaki có thoát khỏi vòng nguy hiểm!?"
Komi - Nữ thần sợ giao tiếp - Tập 8 (2022),969,22500,25000,5222214910008,978-604-2-23672-0,Tomohito Oda,Tuổi mới lớn,"17,6","11,3",192,bìa mềm,150,Komi - Nữ thần sợ giao tiếp,Manga - comic,"Chuyến du lịch ngoại khoá đầu tiên của Komi – “nữ thần” sợ giao tiếp bắt đầu! Cô nàng cực kì lo lắng vì hồi cấp 2 chẳng có bạn nên cũng chưa đi tham quan với cả lớp bao giờ. Tuy nhiên, lần này nỗi lo đó đã không còn nữa nhờ có Tadano và những người bạn thân thiết bên cạnh. Cùng mọi người đi tham quan thắng cảnh khắp Kyoto, tối đến ngủ chung với các bạn, cả lũ chơi đập gối, tắm chung và thổ lộ những chuyện thầm kín, một đêm khó ngủ cùng với những kỉ niệm đáng nhớ với mọi người. Tập 8 của câu chuyện hài hước về người đẹp và những khoảnh khắc lung linh lấp lánh xin phép được “trình làng”!"
Chú Thuật Hồi Chiến - Tập 8,1008,27000,30000,5222215000008,978-604-2-27291-9,Gege Akutami,Tuổi mới lớn,17.6,11.3,192,bìa mềm,140,Chú thuật hồi chiến,Manga - comic,"Nhóm Itadori đã đánh bại anh hai và anh ba trong “Chú thai cửu tương đồ” và thu hồi ngón tay Sukuna. Nhờ đó họ đã được đề cử lên làm thuật sư cấp 1. Ý đồ của Gojo khi chọn cách đi đường vòng là gì…!? Trong tập này, câu chuyện sẽ lội ngược dòng thời gian về sự kiện khi Gojo và Geto còn là học sinh năm Hai của trường chuyên chú thuật!!"
Mob Psycho 100 - Tập 4,970,5000,30000,5212214550004,978-604-2-22939-5,One,Tuổi mới lớn,18,13,192,bìa mềm,140,Mob Psycho 100,Manga - comic,"GIỮA ANH EM MOB VÀ RITSU ĐANG NẢY SINH BẤT HÒA!? Từ bé, Ritsu đã ngưỡng mộ Mob vì khả năng sử dụng siêu năng lực. Cậu thường dặn dò anh mình: “Có khó khăn cứ nói với em”. Tuy nhiên, khi siêu năng lực của chính cậu thức tỉnh thì lòng đố kị ẩn bên trong cũng dần bộc lộ theo, đẩy câu chuyện lên một cao trào khó ai ngờ tới...!! “Nickname của Mob là viết tắt của Mob Character (Nhân vật quần chúng). Nhân vật chính mà lại đi mờ nhạt. Mờ nhạt ấy thế mà lại được làm nhân vật chính. Đúng là cuộc sống… rất giống cuộc đời.” (ONE)"
Chú Thuật Hồi Chiến - Tập 5,1064,27000,30000,5222215000005,978-604-2-27285-8,Gege Akutami,Tuổi mới lớn,17.6,11.3,192,bìa mềm,140,Chú thuật hồi chiến,Manga - comic,"Giao lưu trường kết nghĩa Kyoto đã bắt đầu. Trong trận chiến đội ở ngày thứ nhất, bên nào thanh tẩy được chú linh cấp 2 trong khu vực thi đấu trước sẽ thắng. Với bản tính hiếu chiến, Todo đã lập tức tấn công bên Tokyo nhưng bị Itadori phục kích. Những thành viên khác của đội Kyoto cũng tham chiến hòng ám sát Itadori, khiến cậu rơi vào tình thế tiến thoái lưỡng nan!!"
Búp sen xanh,1088,64800,72000,6241103370001,978-604-2-35343-4,Sơn Tùng,Thiếu niên,20.5,12.5,364,bìa mềm,360,Bác Hồ,Lịch sử - truyền thống,"“Búp Sen Xanh” là cuốn tiểu thuyết nổi tiếng nhất của nhà văn Sơn Tùng - người đã dành trọn cuộc đời mình để viết về Bác Hồ và các vị anh hùng, những nhà cách mạng lỗi lạc của dân tộc. Tác phẩm “Búp Sen Xanh” kể về thời thơ ấu và một phần tuổi trẻ của cậu bé Nguyễn Sinh Cung ở làng quê Nghệ An, rồi kinh đô Huế - nơi đã nuôi dưỡng ý chí, tâm hồn và nhân cách của một nhà hoạt động cách mạng vĩ đại. “Không hiểu sao, mỗi lần nhớ đến nhà văn Sơn Tùng, tôi lại nghĩ ông như một quả dừa khô, tích nắng, tích nước để cuối cùng bật lên một chồi cây xanh, sắc và đẹp như một lưỡi mác. Cả cuộc đời mình, nhà văn Sơn Tùng đã không ngừng tích lũy, tìm kiếm tư liệu, vượt lên thương tật để nghiên cứu, viết về Chủ tịch Hồ Chí Minh. Ông có những hiểu biết, tư liệu về lãnh tụ mà không phải bất cứ một nhà nghiên cứu nào cũng có được…” NHÀ VĂN NGUYỄN TRÍ HUÂN (Tạp chí Nhà văn, số 4/2011) NHÀ VĂN SƠN TÙNG Sinh năm 1928 Quê quán: Diễn Châu, Nghệ An Anh hùng Lao động thời kì đổi mới, năm 2011 CÙNG MỘT TÁC GIẢ • Bên khung cửa sổ (NXB Lao động, 1974) •Nhớ nguồn (NXB Phụ nữ, 1975) • Con người và con đường (NXB Phụ nữ, 1976) • Trần Phú (NXB Thanh niên, 1980) • Nguyễn Hữu Tiến (NXB Thanh niên, 1981) • Búp sen xanh (NXB Kim Đồng, 1982) • Bông sen vàng (NXB Đà Nẵng, 1990) • Trái tim quả đất (NXB Thanh niên, 1990) • Hoa râm bụt (NXB Công an Nhân dân, 1990) • Mẹ về (NXB Phụ nữ, 1990) • Vườn nắng (NXB Thanh niên, 1997) • Sáng ánh tâm đăng Hồ Chí Minh (NXB Công an Nhân dân, 2005) • Bác ở nơi đây (NXB Thanh niên, 2005) • Chung một tình thương của Bác (NXB Thông tấn, 2006) • Lõm (NXB Thanh niên, 2006) • Tấm chân dung Bác Hồ (NXB Kim Đồng, 2013) • Cuộc chia li trên bến Nhà Rồng (NXB Kim Đồng, 2015) • Thầy giáo Nguyễn Tất Thành ở trường Dục Thanh (NXB Kim Đồng, 2016)"
Komi - Nữ thần sợ giao tiếp - Tập 10 (Tặng Kèm PVC Card),1082,22500,25000,5222214910010,978-604-2-23674-4,Tomohito Oda,Tuổi mới lớn,"17,6","11,3",192,bìa mềm,150,Komi - Nữ thần sợ giao tiếp,Manga - comic,"Sang tháng 3, năm lớp 10 với những người bạn thân cùng lớp chuẩn bị kết thúc. Lần đầu cảm thấy nỗi buồn của sự chia li, lần đầu biết đến cảm giác lạc lối chực trào. Thế rồi tháng 4 tới, Komi lên lớp 11. Ở lớp mới, bạn ngồi bàn kế bên là Manbagi – một Gyaru với vẻ ngoài hoa hoè hoa sói nhưng dường như gặp vấn đề trong việc kết bạn. Trong môi trường mới, Komi đã trưởng thành hơn và bắt chuyện với cô bạn có cùng những trăn trở với mình. Mời các bạn tiếp tục theo dõi tập 10 của câu chuyện hài hước về người đẹp sợ giao tiếp, tuy hơi vụng về nhưng rất dịu dàng và luôn cố gắng!!   SáchTặng Kèm PVC Card cho bản in đầu tiên"
Spy x Family - Tập 10 (Tặng Kèm Standee),1152,22500,25000,5242214110010,978-604-2-34030-4,Tatsuya Endo,Tuổi mới lớn,"17,6","11,3",194,bìa mềm,140,Spy x Family,Manga - comic,"Thuở ấu thơ sống bình yên bên ba mẹ, chơi trò đánh trận giả với bạn bè, thỉnh thoảng cãi nhau với ba. Cậu thiếu niên cứ ngỡ những tháng ngày thường nhật ấy sẽ mãi tiếp diễn mà chẳng mảy may nghi ngờ, thế nhưng…!? SáchTặng Kèm Standee cho bản in đầu tiên"
